2.989307783445578779e-21 1.820240333363286269e-24 2.038455938297543592e-25 3.255358339197391745e-26 7.675340184439199324e-25 5.229572187363188658e-25 3.233007911149475545e-25 1.799401278458963176e-25 1.065083068119460507e-25 6.416149437204014541e-26 3.372688336786479467e-26 1.400548947628608492e-26 7.285023827456549632e-27 3.221160719828327307e-27
2.981187367082610019e-21 1.639319761955188826e-24 1.658697579226101284e-25 1.949408070976225167e-26 5.772479912261123367e-25 4.037238179318762196e-25 2.556515336779727443e-25 1.452406813475215915e-25 8.724834666884980676e-26 5.318520881565237000e-26 2.830979737518060989e-26 1.181440981693503500e-26 6.685194682590415963e-27 2.959248934441843311e-27
2.937303104790865219e-21 1.484809228811757638e-24 1.397692868549211493e-25 1.156432383128476540e-26 4.125370928229414788e-25 2.970983332149449158e-25 1.935015984846907514e-25 1.126839021341801739e-25 6.894266701321947392e-26 4.265647740986324819e-26 2.308493498925272171e-26 9.699014438885039741e-27 6.130987450145417880e-27 2.717258996296972421e-27
2.863816818334064445e-21 1.354725242054796867e-24 1.222581685420647699e-25 7.218563311678435117e-27 2.811770143054692665e-25 2.086833985375155882e-25 1.401743072151702476e-25 8.395053618878835166e-26 5.249406526012849744e-26 3.307469147988868974e-26 1.827601375131424252e-26 7.746830538367919540e-27 5.621747408140496469e-27 2.494073068212848298e-27
2.767687607253617214e-21 1.245937105397420070e-24 1.102367431940932438e-25 4.972752013334614429e-27 1.837831626915545724e-25 1.403660843323625209e-25 9.733566018698119624e-26 6.008462262091231113e-26 3.851537753093398746e-26 2.479370863130783081e-26 1.405399823141594657e-26 6.023815343952198641e-27 5.152507853774484980e-27 2.287712381230287122e-27
2.655522009245154082e-21 1.155835183754736638e-24 1.016978679017604293e-25 3.845604064024696790e-27 1.157797131468804190e-25 9.074517407241482903e-26 6.494127729977006625e-26 4.137551884100948402e-26 2.726459757778836058e-26 1.799264703146530382e-26 1.051681622241160902e-26 4.570206192133475935e-27 4.717565165419420383e-27 2.096189815862661522e-27
2.534288090923355140e-21 1.080385517309549576e-24 9.523410882748674621e-26 3.280662092071115945e-27 7.059031150045095184e-26 5.659770437943492135e-26 4.175853628749214223e-26 2.749119679742118682e-26 1.867287785883870996e-26 1.267770810482109032e-26 7.685174900842400287e-27 3.396143942730046856e-27 4.311915088098973314e-27 1.917958516787107718e-27
2.406642423890749578e-21 1.016043635195828876e-24 8.994715160164179873e-26 2.965255383203520824e-27 4.181500418817239020e-26 3.419941742137199579e-26 2.598420744664942448e-26 1.770234890838541906e-26 1.243069904193611062e-26 8.715511662991696042e-27 5.512594547072461366e-27 2.484869212304774520e-27 3.932138883122698962e-27 1.751559453796994234e-27
2.275201699743754699e-21 9.568242207291800932e-25 8.563738125982213089e-26 2.807900385152589782e-27 2.399040678088735602e-26 1.997857996609291563e-26 1.562883036646945563e-26 1.105173067042893353e-26 8.055774492935305526e-27 5.859499891519894391e-27 3.892335328086070032e-27 1.795025991926546816e-27 3.574395798922008690e-27 1.595349279720140891e-27
2.139757304787430036e-21 8.706227124164277718e-25 8.064841584173900574e-26 2.751424681204691929e-27 1.241766633458532603e-26 1.059617822862134468e-26 8.641862844832080736e-27 6.449732371672008139e-27 4.954448211878615767e-27 3.786220321819561461e-27 2.676180512719979497e-27 1.268472499478982619e-27 3.235143013153737853e-27 1.447817102771684282e-27
