1.344804314902654640e-22 1.326660480139847828e-25 2.913194660739499881e-26 9.438978950475060234e-28 1.080881315422659153e-31 6.726681358212511882e-32 4.474723516015513023e-28 4.114877799670425642e-28 3.864956432655840915e-28 3.470947087604901173e-28 3.097600869999813416e-28 2.703614755739392016e-28 2.280171064495665849e-28 1.148591361773849762e-28 1.141515656422156004e-27 5.329524877167784533e-28
1.266629569507973947e-22 9.489222439885618417e-26 2.167468536348226108e-26 7.424895694487079737e-28 5.691946357983736654e-32 3.823642846448960237e-32 2.966532755957793939e-28 2.740594457466440901e-28 2.583746502926697594e-28 2.335742563768528510e-28 2.098532258543719191e-28 1.848254256108244851e-28 1.567619995248687230e-28 7.934151245151785700e-29 9.823149798742385927e-28 4.615932402668523573e-28
1.196236559377085738e-22 6.661097640321767701e-26 1.565608445025679376e-26 5.577887121538376137e-28 3.345222003736759877e-32 2.340576663056874805e-32 1.953461838710022866e-28 1.811527180930021842e-28 1.713057969051430296e-28 1.557062073289212146e-28 1.406741294360886564e-28 1.248405349747681209e-28 1.063948281853380890e-28 5.407518448910974395e-29 8.354728977975938016e-28 3.952720117028467079e-28
1.134098958721848336e-22 4.606409977911974216e-26 1.104489615648127108e-26 4.032364022432730292e-28 2.098024555919473084e-32 1.486277260360462064e-32 1.278476380777555523e-28 1.189135081816011806e-28 1.127223449839949790e-28 1.029032543604439577e-28 9.338851031334207011e-29 8.339131812389485859e-29 7.135422031844491861e-29 3.639615985564946166e-29 7.017247331371183992e-28 3.343252579333742084e-28
1.080490240272604248e-22 3.153398499742357075e-26 7.668147705788419249e-27 2.844580568087694256e-28 1.343115305748192211e-32 9.516837220691440657e-33 8.320611783077073559e-29 7.756434508935457026e-29 7.366087769073781171e-29 6.746630317787674981e-29 6.144147755249397160e-29 5.512960861145857230e-29 4.732449186730182174e-29 2.421124793221497414e-29 5.815933200382147663e-28 2.790383510576498357e-28
1.032748159067756033e-22 2.153677716758140880e-26 5.290654207132759530e-27 1.978156915235905345e-28 8.554585935751100736e-33 6.061651089239914389e-33 5.360503943907587467e-29 5.005268210179752212e-29 4.759923221455123550e-29 4.370505768973982876e-29 3.990915932934643458e-29 3.594460088916100054e-29 3.093711282289259117e-29 1.586699376673327069e-29 4.753160863365537425e-28 2.296062861679428167e-28
9.863209701249299568e-23 1.548087376259249766e-26 3.844816137822630782e-27 1.444805332689785789e-28 5.593467509824391855e-33 3.964052547694669769e-33 3.530271795144292406e-29 3.299645721521973426e-29 3.140595049107163589e-29 2.888179573369405800e-29 2.641881429974087567e-29 2.385255332097817139e-29 2.056555394604526989e-29 1.056523849608623328e-29 3.839358744192991133e-28 1.865659954619738338e-28
9.359621123262237174e-23 9.689721393233904147e-27 2.432182533177148570e-27 9.169325115602902325e-29 3.765077891809180189e-33 2.668470443662222763e-33 2.387725246163014688e-29 2.233148461745097835e-29 2.126643348623961421e-29 1.957644083488096203e-29 1.792632376831176309e-29 1.620970226098829139e-29 1.399154996349218062e-29 7.195691796404487214e-30 3.057600630890173913e-28 1.492871594869597047e-28
8.847967820647422295e-23 5.950007739757048284e-27 1.506505974309184296e-27 5.659963711349972946e-29 2.543648449103296697e-33 1.802984098759804058e-33 1.619133984026965633e-29 1.515000981826713010e-29 1.443294000051086255e-29 1.329520713839501739e-29 1.218377706762019706e-29 1.102887583954447770e-29 9.527039628211642074e-30 4.903287313950720945e-30 2.378128325221596484e-28 1.165540917615114891e-28
8.320289314694428635e-23 3.610351754419259825e-27 9.212310474436118656e-28 3.422664270582586683e-29 1.724990596901491242e-33 1.222762579510207927e-33 1.100724346724906367e-29 1.030255393399285893e-29 9.817533634290824359e-30 9.048077168884328816e-30 8.296198381138477804e-30 7.515575548117270439e-30 6.495744463371423698e-30 3.344924825463579217e-30 1.782916947052692298e-28 8.758894866580487293e-29
7.550493647916751530e-23 2.164587282965072686e-27 5.561994480302242365e-28 2.020458792393404656e-29 1.174394309940813290e-33 8.325462231185581801e-34 7.508745560203173814e-30 7.029714807712710157e-30 6.700106753793734236e-30 6.177211224377801761e-30 5.666111947117561907e-30 5.135787809476252317e-30 4.440637112498929410e-30 2.287529878967310097e-30 1.246789242306481008e-28 6.123619308951053775e-29
6.059324675408549510e-23 1.266214892125557619e-27 3.257086651647278036e-28 1.167197985182548713e-29 7.071672823099567336e-34 5.013528186431074379e-34 4.533142128688664590e-30 4.244985307185894316e-30 4.046785797609024671e-30 3.732326753212248354e-30 3.424871627360229098e-30 3.106048426974056317e-30 2.686702547457552861e-30 1.384533842096442783e-30 7.053586974475534677e-29 3.449974807971369972e-29
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
